pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, Threads, Virtual Memory, Physical Memory, Cores, Number of Lines
pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, 2, 6269844, 6188256, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459204.out:DATA, 4, 1776668, 1547692, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459214.out:DATA, 8, 1622992, 1547780, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459132.out:DATA, 4, 1776668, 1547696, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458872.out:DATA, 4, 3323500, 3094544, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458972.out:DATA, 1, 6195980, 6188232, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458943.out:DATA, 16, 3247028, 3094808, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459087.out:DATA, 16, 3247032, 3094864, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458925.out:DATA, 4, 6417316, 6188308, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459088.out:DATA, 16, 5755168, 4641700, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458893.out:DATA, 1, 3102296, 3094480, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458881.out:DATA, 8, 1623000, 1547780, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458932.out:DATA, 8, 5165312, 4641516, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458960.out:DATA, 32, 6495232, 6188844, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459211.out:DATA, 4, 6417316, 6188328, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459186.out:DATA, 1, 4649132, 4641352, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459156.out:DATA, 16, 2178984, 1547880, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459062.out:DATA, 4, 3323504, 3094576, 4, 500000
